Time (Sec);S41;S42;S43;S44;S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S4;S40;S5;S6;S7;S8;S9;
0.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;35640.0;
60.0;35640.0;35640.0;35640.0;35640.0;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;
180.0;35640.0;35640.0;35640.0;35640.0;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;
300.0;35640.0;35640.0;35640.0;35640.0;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;35639.9931904;
300.0;35640.0;35640.0;35640.0;35640.0;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;
300.3845427944404;35640.0;35640.0;35640.0;35640.0;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;
360.0;35640.0;35640.0;35640.0;35640.0;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;
600.0;35640.0;35640.0;35640.0;35640.0;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;35639.986380799994;
600.0;35640.0;35640.0;35640.0;35640.0;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;
600.3845427944403;35640.0;35640.0;35640.0;35640.0;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;35639.97957119999;
