type,id,longitude,latitude,passerelle_rattachee
passerelle,41,-1.5009767,12.3839902,
passerelle,42,-1.4958263,12.3839902,
passerelle,43,-1.5009767,12.3890563,
passerelle,44,-1.4958263,12.3890563,
capteur,1,-1.5022376,12.3847355,41
capteur,2,-1.4990480,12.3864273,41
capteur,3,-1.4995980,12.3850820,41
capteur,4,-1.4958443,12.3850772,42
capteur,5,-1.5028987,12.3824148,41
capteur,6,-1.5019305,12.3896020,43
capteur,7,-1.5024875,12.3844087,41
capteur,8,-1.5029671,12.3862438,41
capteur,9,-1.4975877,12.3846722,42
capteur,10,-1.4953679,12.3902087,44
capteur,11,-1.4979364,12.3879838,44
capteur,12,-1.5004078,12.3830575,41
capteur,13,-1.4955520,12.3905699,44
capteur,14,-1.4989559,12.3856743,41
capteur,15,-1.4996966,12.3863633,41
capteur,16,-1.4942548,12.3894355,44
capteur,17,-1.4964123,12.3841836,42
capteur,18,-1.5025687,12.3885490,43
capteur,19,-1.4956619,12.3878134,44
capteur,20,-1.4992206,12.3881829,43
capteur,21,-1.4950648,12.3905746,44
capteur,22,-1.4994960,12.3882983,43
capteur,23,-1.5020787,12.3872189,43
capteur,24,-1.4989111,12.3873334,43
capteur,25,-1.4999841,12.3890553,43
capteur,26,-1.5008680,12.3860661,41
capteur,27,-1.5005060,12.3865860,43
capteur,28,-1.4941382,12.3836918,42
capteur,29,-1.4976130,12.3866791,44
capteur,30,-1.4957023,12.3885004,44
capteur,31,-1.5005856,12.3897034,43
capteur,32,-1.4960867,12.3872686,44
capteur,33,-1.4953671,12.3884997,44
capteur,34,-1.4990612,12.3884686,43
capteur,35,-1.4971870,12.3892382,44
capteur,36,-1.5016157,12.3842679,41
capteur,37,-1.4982421,12.3847695,42
capteur,38,-1.4964437,12.3896106,44
capteur,39,-1.4977896,12.3843138,42
capteur,40,-1.4977632,12.3902733,44
