type,id,longitude,latitude,passerelle_rattachee
passerelle,31,-1.5520242,12.2298046,
passerelle,32,-1.5694858,12.1999511,
passerelle,33,-1.5345626,12.1999511,
capteur,1,-1.5346988,12.2328583,31
capteur,2,-1.5396409,12.2007626,33
capteur,3,-1.5340817,12.2234146,31
capteur,4,-1.5345668,12.2154038,33
capteur,5,-1.5481495,12.2119439,33
capteur,6,-1.5597481,12.2117127,32
capteur,7,-1.5598946,12.2051466,32
capteur,8,-1.5423109,12.2153684,33
capteur,9,-1.5478041,12.2324564,31
capteur,10,-1.5322389,12.2300067,31
capteur,11,-1.5463277,12.2345973,31
capteur,12,-1.5676393,12.2214692,31
capteur,13,-1.5669941,12.1984035,32
capteur,14,-1.5367277,12.2038321,33
capteur,15,-1.5375928,12.2295382,31
capteur,16,-1.5431958,12.2199872,31
capteur,17,-1.5594708,12.2076304,32
capteur,18,-1.5356301,12.2090344,33
capteur,19,-1.5490315,12.1958938,33
capteur,20,-1.5385696,12.2245227,31
capteur,21,-1.5584574,12.1911779,32
capteur,22,-1.5413150,12.2106085,33
capteur,23,-1.5549084,12.1965451,32
capteur,24,-1.5535382,12.2101843,32
capteur,25,-1.5427959,12.2137431,33
capteur,26,-1.5560944,12.2032637,32
capteur,27,-1.5446837,12.2187093,31
capteur,28,-1.5613989,12.1923902,32
capteur,29,-1.5527772,12.2192063,31
capteur,30,-1.5545564,12.2327165,31
