type,id,longitude,latitude,passerelle_rattachee
passerelle,51,-1.5316893,12.3632567,
passerelle,52,-1.5199181,12.3632567,
passerelle,53,-1.5316893,12.3748363,
passerelle,54,-1.5199181,12.3748363,
passerelle,55,-1.5258037,12.3690465,
capteur,1,-1.5292952,12.3762038,53
capteur,2,-1.5174265,12.3696841,54
capteur,3,-1.5236834,12.3736983,54
capteur,4,-1.5222291,12.3703571,55
capteur,5,-1.5186770,12.3732223,54
capteur,6,-1.5237465,12.3692177,55
capteur,7,-1.5176347,12.3717366,54
capteur,8,-1.5205121,12.3610639,52
capteur,9,-1.5212975,12.3739567,54
capteur,10,-1.5345121,12.3602102,51
capteur,11,-1.5203093,12.3662647,52
capteur,12,-1.5287700,12.3707912,55
capteur,13,-1.5206890,12.3613961,52
capteur,14,-1.5228540,12.3710535,55
capteur,15,-1.5333197,12.3642055,51
capteur,16,-1.5214468,12.3611522,52
capteur,17,-1.5249105,12.3625136,52
capteur,18,-1.5236393,12.3718906,55
capteur,19,-1.5178874,12.3680322,52
capteur,20,-1.5332771,12.3601044,51
capteur,21,-1.5189636,12.3672431,52
capteur,22,-1.5192861,12.3659337,52
capteur,23,-1.5167635,12.3715911,54
capteur,24,-1.5252026,12.3721159,55
capteur,25,-1.5244095,12.3745089,54
capteur,26,-1.5275580,12.3655308,55
capteur,27,-1.5224503,12.3726453,54
capteur,28,-1.5276298,12.3617389,51
capteur,29,-1.5299148,12.3689811,55
capteur,30,-1.5237503,12.3612514,52
capteur,31,-1.5193278,12.3611599,52
capteur,32,-1.5302574,12.3622668,51
capteur,33,-1.5280125,12.3776726,53
capteur,34,-1.5272997,12.3772090,53
capteur,35,-1.5186819,12.3706830,54
capteur,36,-1.5295570,12.3687627,55
capteur,37,-1.5330109,12.3656209,51
capteur,38,-1.5211247,12.3726068,54
capteur,39,-1.5314557,12.3650194,51
capteur,40,-1.5214780,12.3747151,54
capteur,41,-1.5326400,12.3728264,53
capteur,42,-1.5230566,12.3670240,55
capteur,43,-1.5322592,12.3742327,53
capteur,44,-1.5185821,12.3765684,54
capteur,45,-1.5190897,12.3677635,52
capteur,46,-1.5279855,12.3724716,55
capteur,47,-1.5243723,12.3719354,55
capteur,48,-1.5235538,12.3754537,54
capteur,49,-1.5326425,12.3714004,53
capteur,50,-1.5232467,12.3671188,55
