scenario,config,replication,rmse_mean_m,rmse_p95_m,eloc_mah,ejour_mah,autonomie_j,taux_succes,overhead_B,pct_tdoa,pct_agps,pct_gps,hdop_median,hdop_p95,pct_hdop_sup10,d3_max_m,marge_m,passerelles_vues_min,e_radio_cupcarbon_mah,source
Urbain,TDoA,1,66.83,145.33,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.151,4.168,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,1,6.51,12.77,0.25959,75.242,39.9,92.92,0,0.0,0.0,100.0,1.151,4.168,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,1,15.17,29.82,0.09959,29.162,102.9,96.42,48,0.0,100.0,0.0,1.151,4.168,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,1,28.95,61.4,0.0439,4.694,639.1,100.0,16,63.5,35.4,1.1,1.143,4.167,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Rural,TDoA,1,57.08,124.52,0.00925,3.144,954.3,92.64,24,100.0,0.0,0.0,1.918,14.013,7.36,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,1,4.81,9.49,0.25959,75.242,39.9,98.44,0,0.0,0.0,100.0,1.918,14.013,7.36,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,1,11.28,22.33,0.09959,29.162,102.9,99.09,48,0.0,100.0,0.0,1.918,14.013,7.36,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,1,23.46,48.3,0.04579,4.875,615.3,100.0,16,60.7,38.7,0.6,1.945,14.924,7.73,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,1,85.06,191.05,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.048,6.453,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,1,5.72,11.19,0.25959,75.242,39.9,95.82,0,0.0,0.0,100.0,2.048,6.453,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,1,13.06,25.48,0.09959,29.162,102.9,97.72,48,0.0,100.0,0.0,2.048,6.453,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,1,22.78,48.06,0.05843,6.09,492.6,100.0,16,47.5,51.4,1.1,2.117,6.45,0.0,828.0,672.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,2,66.01,142.18,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.153,4.11,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,2,6.52,12.71,0.25959,75.242,39.9,93.4,0,0.0,0.0,100.0,1.153,4.11,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,2,14.82,29.18,0.09959,29.162,102.9,96.27,48,0.0,100.0,0.0,1.153,4.11,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,2,28.16,58.87,0.04329,4.636,647.1,100.0,16,64.5,34.3,1.2,1.16,4.099,0.0,1670.0,830.0,5,0.1501,cupcarbon+modele
Rural,TDoA,2,55.74,121.22,0.00925,3.144,954.3,92.33,24,100.0,0.0,0.0,1.887,14.718,7.67,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,2,4.91,9.65,0.25959,75.242,39.9,98.45,0,0.0,0.0,100.0,1.887,14.718,7.67,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,2,11.34,22.27,0.09959,29.162,102.9,99.12,48,0.0,100.0,0.0,1.887,14.718,7.67,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,2,24.75,53.3,0.04209,4.521,663.6,100.0,16,64.5,35.0,0.5,1.82,15.165,8.01,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,2,83.31,187.7,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.109,6.383,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,2,5.69,11.24,0.25959,75.242,39.9,95.92,0,0.0,0.0,100.0,2.109,6.383,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,2,13.12,25.97,0.09959,29.162,102.9,97.83,48,0.0,100.0,0.0,2.109,6.383,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,2,23.21,48.79,0.058,6.048,496.0,100.0,16,48.1,50.7,1.2,2.091,6.404,0.0,828.0,672.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,3,64.76,140.38,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.145,4.158,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,3,6.49,12.79,0.25959,75.242,39.9,92.87,0,0.0,0.0,100.0,1.145,4.158,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,3,15.08,29.69,0.09959,29.162,102.9,96.7,48,0.0,100.0,0.0,1.145,4.158,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,3,28.35,58.68,0.04368,4.673,642.0,100.0,16,64.4,34.2,1.4,1.129,4.118,0.0,1656.0,844.0,5,0.1501,cupcarbon+modele
Rural,TDoA,3,57.76,121.73,0.00925,3.144,954.3,92.62,24,100.0,0.0,0.0,1.89,13.27,7.38,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,3,4.88,9.49,0.25959,75.242,39.9,98.39,0,0.0,0.0,100.0,1.89,13.27,7.38,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,3,11.16,22.01,0.09959,29.162,102.9,98.87,48,0.0,100.0,0.0,1.89,13.27,7.38,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,3,23.85,51.37,0.04512,4.812,623.5,100.0,16,61.0,38.7,0.4,1.958,13.002,7.56,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,3,86.01,192.83,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.059,6.356,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,3,5.74,11.35,0.25959,75.242,39.9,96.06,0,0.0,0.0,100.0,2.059,6.356,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,3,13.05,25.52,0.09959,29.162,102.9,97.37,48,0.0,100.0,0.0,2.059,6.356,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,3,22.66,48.23,0.05948,6.19,484.7,100.0,16,47.0,51.6,1.4,2.121,6.358,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,4,65.22,138.75,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.153,4.138,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,4,6.54,12.79,0.25959,75.242,39.9,93.36,0,0.0,0.0,100.0,1.153,4.138,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,4,14.99,29.41,0.09959,29.162,102.9,96.53,48,0.0,100.0,0.0,1.153,4.138,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,4,28.48,59.26,0.04309,4.616,649.9,100.0,16,64.7,34.1,1.2,1.154,4.122,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Rural,TDoA,4,56.59,119.19,0.00925,3.144,954.3,92.16,24,100.0,0.0,0.0,1.949,14.686,7.84,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,4,4.87,9.51,0.25959,75.242,39.9,98.75,0,0.0,0.0,100.0,1.949,14.686,7.84,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,4,11.4,22.38,0.09959,29.162,102.9,98.89,48,0.0,100.0,0.0,1.949,14.686,7.84,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,4,24.42,52.63,0.04473,4.774,628.4,100.0,16,61.3,38.4,0.3,1.953,15.685,8.35,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,4,84.27,189.17,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.07,6.471,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,4,5.74,11.33,0.25959,75.242,39.9,96.07,0,0.0,0.0,100.0,2.07,6.471,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,4,13.26,26.15,0.09959,29.162,102.9,97.61,48,0.0,100.0,0.0,2.07,6.471,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,4,23.1,48.27,0.05822,6.069,494.3,100.0,16,47.6,51.4,1.0,2.081,6.45,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,5,67.08,147.65,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.174,4.168,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,5,6.46,12.68,0.25959,75.242,39.9,93.05,0,0.0,0.0,100.0,1.174,4.168,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,5,14.76,28.96,0.09959,29.162,102.9,96.61,48,0.0,100.0,0.0,1.174,4.168,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,5,28.3,58.46,0.04478,4.779,627.8,100.0,16,62.7,36.2,1.1,1.173,4.185,0.0,1660.0,840.0,5,0.1501,cupcarbon+modele
Rural,TDoA,5,57.13,126.23,0.00925,3.144,954.3,92.25,24,100.0,0.0,0.0,1.923,14.892,7.75,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,5,4.88,9.59,0.25959,75.242,39.9,98.47,0,0.0,0.0,100.0,1.923,14.892,7.75,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,5,11.42,22.46,0.09959,29.162,102.9,99.09,48,0.0,100.0,0.0,1.923,14.892,7.75,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,5,24.49,51.23,0.04469,4.771,628.9,100.0,16,61.4,38.3,0.3,1.907,14.625,7.59,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,5,84.28,188.25,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.106,6.44,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,5,5.64,11.06,0.25959,75.242,39.9,95.87,0,0.0,0.0,100.0,2.106,6.44,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,5,13.14,25.74,0.09959,29.162,102.9,97.48,48,0.0,100.0,0.0,2.106,6.44,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,5,22.08,47.03,0.05807,6.055,495.5,100.0,16,48.0,50.9,1.1,2.085,6.355,0.0,828.0,672.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,6,65.83,143.43,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.163,4.152,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,6,6.5,12.76,0.25959,75.242,39.9,93.29,0,0.0,0.0,100.0,1.163,4.152,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,6,15.0,29.42,0.09959,29.162,102.9,96.62,48,0.0,100.0,0.0,1.163,4.152,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,6,28.94,59.65,0.04426,4.729,634.4,100.0,16,63.6,35.1,1.3,1.175,4.118,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Rural,TDoA,6,57.02,124.29,0.00925,3.144,954.3,92.61,24,100.0,0.0,0.0,1.92,14.233,7.39,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,6,4.94,9.72,0.25959,75.242,39.9,98.52,0,0.0,0.0,100.0,1.92,14.233,7.39,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,6,11.36,22.28,0.09959,29.162,102.9,99.03,48,0.0,100.0,0.0,1.92,14.233,7.39,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,6,23.68,51.42,0.04472,4.774,628.5,100.0,16,61.3,38.3,0.3,1.901,13.79,6.98,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,6,84.22,189.13,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.092,6.432,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,6,5.7,11.11,0.25959,75.242,39.9,95.78,0,0.0,0.0,100.0,2.092,6.432,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,6,13.06,25.87,0.09959,29.162,102.9,97.6,48,0.0,100.0,0.0,2.092,6.432,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,6,23.49,49.31,0.05796,6.044,496.3,100.0,16,48.0,50.9,1.1,2.09,6.397,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,7,65.88,145.06,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.148,4.155,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,7,6.43,12.53,0.25959,75.242,39.9,93.21,0,0.0,0.0,100.0,1.148,4.155,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,7,14.92,29.17,0.09959,29.162,102.9,96.51,48,0.0,100.0,0.0,1.148,4.155,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,7,27.91,56.62,0.04422,4.725,634.9,100.0,16,63.5,35.3,1.2,1.145,4.155,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Rural,TDoA,7,56.43,117.88,0.00925,3.144,954.3,91.83,24,100.0,0.0,0.0,1.959,16.522,8.17,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,7,4.92,9.77,0.25959,75.242,39.9,98.32,0,0.0,0.0,100.0,1.959,16.522,8.17,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,7,11.18,21.71,0.09959,29.162,102.9,99.13,48,0.0,100.0,0.0,1.959,16.522,8.17,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,7,24.04,50.8,0.04472,4.773,628.5,100.0,16,61.4,38.2,0.4,1.984,15.538,8.11,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,7,85.12,186.91,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.153,6.389,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,7,5.73,11.17,0.25959,75.242,39.9,96.13,0,0.0,0.0,100.0,2.153,6.389,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,7,13.1,25.71,0.09959,29.162,102.9,97.47,48,0.0,100.0,0.0,2.153,6.389,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,7,22.5,46.86,0.05784,6.033,497.3,100.0,16,48.2,50.6,1.1,2.074,6.366,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,8,67.68,145.21,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.153,4.187,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,8,6.54,12.84,0.25959,75.242,39.9,93.21,0,0.0,0.0,100.0,1.153,4.187,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,8,14.93,29.27,0.09959,29.162,102.9,96.39,48,0.0,100.0,0.0,1.153,4.187,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,8,29.0,59.54,0.04291,4.599,652.3,100.0,16,64.6,34.3,1.1,1.153,4.2,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Rural,TDoA,8,57.9,123.16,0.00925,3.144,954.3,92.56,24,100.0,0.0,0.0,1.972,13.948,7.44,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,8,4.86,9.44,0.25959,75.242,39.9,98.54,0,0.0,0.0,100.0,1.972,13.948,7.44,5880.0,1620.0,3,0.1501,cupcarbon+modele
