type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,905.4,812.5
capteur,2,220.8,514.4
capteur,3,288.0,65.7
capteur,4,540.8,111.2
capteur,5,741.6,607.7
capteur,6,384.1,343.0
capteur,7,371.0,520.2
capteur,8,898.4,106.4
capteur,9,192.1,691.7
capteur,10,115.5,867.4
capteur,11,330.6,415.6
capteur,12,68.5,572.2
capteur,13,731.1,538.2
capteur,14,253.1,94.8
capteur,15,773.2,117.4
capteur,16,121.0,869.0
capteur,17,213.7,594.3
capteur,18,544.9,344.1
capteur,19,76.1,436.8
capteur,20,514.6,416.8
capteur,21,469.9,936.5
capteur,22,437.9,225.3
capteur,23,527.1,76.3
capteur,24,173.0,661.2
capteur,25,872.7,885.3
capteur,26,119.1,85.5
capteur,27,780.8,791.0
capteur,28,823.8,901.4
capteur,29,604.6,545.8
capteur,30,111.9,808.8
capteur,31,272.3,527.3
capteur,32,377.7,216.3
capteur,33,55.0,247.6
capteur,34,666.2,75.1
capteur,35,450.6,428.5
capteur,36,568.3,287.4
capteur,37,155.5,383.9
capteur,38,769.2,538.9
capteur,39,167.2,511.9
capteur,40,708.9,464.2
