type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,854.3,3033.5
capteur,2,3714.5,797.6
capteur,3,1631.2,2687.1
capteur,4,4074.0,3690.3
capteur,5,3424.6,324.7
capteur,6,2399.0,2184.5
capteur,7,4477.3,4134.2
capteur,8,2912.8,3242.9
capteur,9,1666.9,256.8
capteur,10,4150.8,2331.4
capteur,11,4430.4,4739.3
capteur,12,403.1,4092.5
capteur,13,1692.6,4313.8
capteur,14,2032.1,808.8
capteur,15,1859.2,2685.1
capteur,16,3688.7,3488.3
capteur,17,4082.4,307.7
capteur,18,2271.7,3269.9
capteur,19,1989.1,4114.7
capteur,20,4499.1,4168.8
capteur,21,3197.0,4120.2
capteur,22,3373.7,3713.9
capteur,23,2584.2,423.9
capteur,24,3449.3,1893.6
capteur,25,3822.7,2071.7
capteur,26,3471.9,2969.2
capteur,27,3157.0,1733.2
capteur,28,839.1,1925.7
capteur,29,4024.4,2151.8
capteur,30,3017.8,1095.9
