type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,959.0,1035.0
capteur,2,514.7,158.2
capteur,3,114.8,443.3
capteur,4,514.4,1538.2
capteur,5,667.6,1637.8
capteur,6,1203.0,521.2
capteur,7,393.9,1708.8
capteur,8,528.7,378.8
capteur,9,149.7,1315.6
capteur,10,679.4,1894.4
capteur,11,1175.1,1426.0
capteur,12,686.1,415.5
capteur,13,1492.5,1106.1
capteur,14,397.4,1030.4
capteur,15,1825.8,450.0
capteur,16,1079.2,1256.5
capteur,17,346.1,1287.7
capteur,18,1217.2,1711.7
capteur,19,1696.3,1469.0
capteur,20,1458.8,218.8
capteur,21,1883.5,1461.4
capteur,22,477.4,470.7
capteur,23,1295.1,1163.1
capteur,24,498.3,985.1
capteur,25,740.9,342.7
capteur,26,1356.8,1777.2
capteur,27,1299.2,1862.7
capteur,28,1855.9,761.8
capteur,29,1067.8,520.9
capteur,30,433.8,416.2
capteur,31,1758.1,1023.3
capteur,32,125.2,1781.8
capteur,33,523.1,1315.1
capteur,34,1526.6,849.1
capteur,35,1748.1,1757.7
capteur,36,1445.4,1024.8
capteur,37,1586.6,552.1
capteur,38,869.8,1701.9
capteur,39,1352.0,1245.0
capteur,40,1662.7,1199.2
capteur,41,1620.9,513.5
capteur,42,328.3,463.8
capteur,43,1088.5,1223.3
capteur,44,1323.4,1225.9
capteur,45,1130.6,728.9
capteur,46,360.6,1837.9
capteur,47,345.6,1239.4
capteur,48,536.6,198.8
capteur,49,530.5,1684.5
capteur,50,840.0,445.7
