scenario,config,n,rmse_moy,rmse_ecart_type,p95_moy,p95_ecart_type,ejour_moy,ejour_ecart_type,autonomie_moy,autonomie_ecart_type,succes_moy,succes_ecart_type
Urbain,TDoA,10,66.27,0.909,143.64,2.847,3.144,0.0,954.3,0.0,100.0,0.0
Urbain,GPS,10,6.51,0.039,12.75,0.123,75.242,0.0,39.9,0.0,93.1,0.221
Urbain,AGPS,10,14.95,0.132,29.34,0.254,29.162,0.0,102.9,0.0,96.49,0.175
Urbain,Optimisé,10,28.58,0.39,59.37,1.467,4.668,0.063,642.7,8.65,100.0,0.0
Rural,TDoA,10,57.16,0.768,122.68,3.072,3.144,0.0,954.3,0.0,92.37,0.254
Rural,GPS,10,4.88,0.036,9.57,0.11,75.242,0.0,39.9,0.0,98.47,0.133
Rural,AGPS,10,11.32,0.093,22.27,0.25,29.162,0.0,102.9,0.0,99.05,0.099
Rural,Optimisé,10,23.99,0.425,51.13,1.487,4.767,0.1103,629.7,14.86,100.0,0.0
Mixte,TDoA,10,84.44,1.059,189.19,2.59,3.144,0.0,954.3,0.0,100.0,0.0
Mixte,GPS,10,5.7,0.032,11.2,0.115,75.242,0.0,39.9,0.0,95.97,0.152
Mixte,AGPS,10,13.11,0.063,25.74,0.21,29.162,0.0,102.9,0.0,97.53,0.162
Mixte,Optimisé,10,22.86,0.428,48.14,0.852,6.071,0.0673,494.2,5.44,100.0,0.0
